mapping_lineage,option_group,semantic_field,legacy_tag,legacy_global_number,cmper,incident,word_slot,width_bytes,conversion,minimum_finale_version,variant,replaced_index,selector_observed_in_available_etf,candidate_musxdom_target
current_only,PlaybackPrefs,doPlaybackRepeats,FI,,11,0,3,2,NONE,,baseline,,yes,unsupported playback/document settings
current_only,PlaybackPrefs,endPass,47,47,65534,0,5,2,NONE,,baseline,,no,unsupported playback/document settings
current_26_2_override,PlaybackPrefs,exprMode,pd,,0,0,0,2,NONE,2014,finale_26_2_compatibility_override,21,yes,unsupported playback/document settings
current_only,PlaybackPrefs,exprMode,pd,,0,0,3,2,NONE,2014,baseline,,yes,unsupported playback/document settings
current_only,PlaybackPrefs,hyperClickBarData.clickOff.data0,48,48,65534,2,4,1,NONE,,baseline,,no,unsupported playback/document settings
current_only,PlaybackPrefs,hyperClickBarData.clickOff.data1,48,48,65534,2,5,1,NONE,,baseline,,no,unsupported playback/document settings
current_only,PlaybackPrefs,hyperClickBarData.clickOff.status,48,48,65534,2,3,1,NONE,,baseline,,no,unsupported playback/document settings
current_only,PlaybackPrefs,hyperClickBarData.clickOn.data0,48,48,65534,2,1,1,NONE,,baseline,,no,unsupported playback/document settings
current_only,PlaybackPrefs,hyperClickBarData.clickOn.data1,48,48,65534,2,2,1,NONE,,baseline,,no,unsupported playback/document settings
current_only,PlaybackPrefs,hyperClickBarData.clickOn.status,48,48,65534,2,0,1,NONE,,baseline,,no,unsupported playback/document settings
current_only,PlaybackPrefs,hyperClickBarData.duration,48,48,65534,3,1,2,NONE,,baseline,,no,unsupported playback/document settings
current_only,PlaybackPrefs,hyperClickBarData.virtChannel,48,48,65534,3,0,2,NONE,,baseline,,no,unsupported playback/document settings
current_only,PlaybackPrefs,hyperClickBarNote.clickOn.data0,48,48,65534,5,0,1,NONE,,baseline,,no,unsupported playback/document settings
current_only,PlaybackPrefs,hyperClickBarNote.clickOn.data1,48,48,65534,5,1,1,NONE,,baseline,,no,unsupported playback/document settings
current_only,PlaybackPrefs,hyperClickBarNote.duration,48,48,65534,5,2,2,NONE,,baseline,,no,unsupported playback/document settings
current_only,PlaybackPrefs,hyperClickBarNote.virtChannel,48,48,65534,5,3,2,NONE,,baseline,,no,unsupported playback/document settings
current_only,PlaybackPrefs,hyperClickBeatData.clickOff.data0,48,48,65534,0,4,1,NONE,,baseline,,no,unsupported playback/document settings
current_only,PlaybackPrefs,hyperClickBeatData.clickOff.data1,48,48,65534,0,5,1,NONE,,baseline,,no,unsupported playback/document settings
current_only,PlaybackPrefs,hyperClickBeatData.clickOff.status,48,48,65534,0,3,1,NONE,,baseline,,no,unsupported playback/document settings
current_only,PlaybackPrefs,hyperClickBeatData.clickOn.data0,48,48,65534,0,1,1,NONE,,baseline,,no,unsupported playback/document settings
current_only,PlaybackPrefs,hyperClickBeatData.clickOn.data1,48,48,65534,0,2,1,NONE,,baseline,,no,unsupported playback/document settings
current_only,PlaybackPrefs,hyperClickBeatData.clickOn.status,48,48,65534,0,0,1,NONE,,baseline,,no,unsupported playback/document settings
current_only,PlaybackPrefs,hyperClickBeatData.duration,48,48,65534,1,1,2,NONE,,baseline,,no,unsupported playback/document settings
current_only,PlaybackPrefs,hyperClickBeatData.virtChannel,48,48,65534,1,0,2,NONE,,baseline,,no,unsupported playback/document settings
current_only,PlaybackPrefs,hyperClickBeatNote.clickOn.data0,48,48,65534,4,0,1,NONE,,baseline,,no,unsupported playback/document settings
current_only,PlaybackPrefs,hyperClickBeatNote.clickOn.data1,48,48,65534,4,1,1,NONE,,baseline,,no,unsupported playback/document settings
current_only,PlaybackPrefs,hyperClickBeatNote.duration,48,48,65534,4,2,2,NONE,,baseline,,no,unsupported playback/document settings
current_only,PlaybackPrefs,hyperClickBeatNote.virtChannel,48,48,65534,4,3,2,NONE,,baseline,,no,unsupported playback/document settings
current_only,PlaybackPrefs,hyperClickDataType,48,48,65534,3,2,2,NONE,,baseline,,no,unsupported playback/document settings
original_and_current,PlaybackPrefs,metronomeBeat,13,13,65534,0,1,2,NONE,,baseline,,yes,unsupported playback/document settings
original_and_current,PlaybackPrefs,metronomeSpeed,39,39,65534,0,3,2,NONE,,baseline,,yes,unsupported playback/document settings
current_26_2_override,PlaybackPrefs,playbackRecordFlags,pd,,0,0,1,2,NONE,2014,finale_26_2_compatibility_override,23,yes,unsupported playback/document settings
original_and_current,PlaybackPrefs,playbackRecordFlags,pd,,0,0,5,2,NONE,2014,baseline,,yes,unsupported playback/document settings
current_only,PlaybackPrefs,sendClickOff,48,48,65534,1,2,2,NONE,,baseline,,no,unsupported playback/document settings
current_26_2_override,PlaybackPrefs,smpteStartTime,OP,,0,2,4,4,WINFOURBYTE,2014,finale_26_2_compatibility_override,20,no,unsupported playback/document settings
current_only,PlaybackPrefs,smpteStartTime,pd,,0,0,0,4,WINFOURBYTE,2014,baseline,,yes,unsupported playback/document settings
current_26_2_override,PlaybackPrefs,smpteTimeType,OP,,0,2,3,2,NONE,2014,finale_26_2_compatibility_override,22,no,unsupported playback/document settings
current_only,PlaybackPrefs,smpteTimeType,pd,,0,0,4,2,NONE,2014,baseline,,yes,unsupported playback/document settings
original_and_current,PlaybackPrefs,startAtMeas,37,37,65534,0,0,2,NONE,,baseline,,yes,unsupported playback/document settings
original_and_current,PlaybackPrefs,startAtMode,37,37,65534,0,1,2,NONE,,baseline,,yes,unsupported playback/document settings
current_only,PlaybackPrefs,startEdu,47,47,65534,0,0,4,MACFOURBYTE,,baseline,,no,unsupported playback/document settings
current_only,PlaybackPrefs,startPass,47,47,65534,0,4,2,NONE,,baseline,,no,unsupported playback/document settings
original_and_current,PlaybackPrefs,stopAtMeas,37,37,65534,0,2,2,NONE,,baseline,,yes,unsupported playback/document settings
current_only,PlaybackPrefs,stopEdu,47,47,65534,0,2,4,MACFOURBYTE,,baseline,,no,unsupported playback/document settings
original_and_current,PlaybackPrefs,swing,36,36,65534,0,0,2,NONE,,baseline,,yes,unsupported playback/document settings
original_and_current,Pre2012MusicCharsPrefs,symbol15ma,69,69,65534,0,4,2,NONE,,baseline,,yes,MusicSymbolOptions
original_and_current,Pre2012MusicCharsPrefs,symbol15mb,69,69,65534,0,5,2,NONE,,baseline,,yes,MusicSymbolOptions
original_and_current,Pre2012MusicCharsPrefs,symbol8va,12,12,65534,0,5,2,NONE,,baseline,,yes,MusicSymbolOptions
original_and_current,Pre2012MusicCharsPrefs,symbol8vb,11,11,65534,0,5,2,NONE,,baseline,,yes,MusicSymbolOptions
original_and_current,Pre2012MusicCharsPrefs,symbolTrill,69,69,65534,0,2,2,NONE,,baseline,,yes,MusicSymbolOptions
original_and_current,Pre2012MusicCharsPrefs,symbolWiggle,69,69,65534,0,3,2,NONE,,baseline,,yes,MusicSymbolOptions
original_and_current,Pre2012MusicCharsPrefs,symbolcommontimesigscore,19,19,65534,0,4,2,NONE,,baseline,,yes,MusicSymbolOptions
original_and_current,Pre2012MusicCharsPrefs,symbolcuttimesigscore,19,19,65534,0,5,2,NONE,,baseline,,yes,MusicSymbolOptions
original_and_current,RepeatPrefs,afterClefSpace,71,71,65534,0,3,2,NONE,,baseline,,yes,RepeatOptions
original_and_current,RepeatPrefs,afterKeySpace,71,71,65534,0,4,2,NONE,,baseline,,yes,RepeatOptions
original_and_current,RepeatPrefs,afterTimeSpace,71,71,65534,0,5,2,NONE,,baseline,,yes,RepeatOptions
original_and_current,RepeatPrefs,backToBackStyle,70,70,65534,0,3,2,NONE,,baseline,,yes,RepeatOptions
original_and_current,RepeatPrefs,backwardSpace,70,70,65534,0,5,2,NONE,,baseline,,yes,RepeatOptions
original_and_current,RepeatPrefs,dotafternumber,69,69,65534,0,1,2,NONE,,baseline,,yes,RepeatOptions
original_and_current,RepeatPrefs,endingBackHook,76,76,65534,0,2,2,NONE,,baseline,,yes,RepeatOptions
original_and_current,RepeatPrefs,endingBracketHeight,05,05,65534,0,3,2,NONE,,baseline,,yes,RepeatOptions
original_and_current,RepeatPrefs,endingFrontHook,72,72,65534,0,0,2,NONE,,baseline,,yes,RepeatOptions
original_and_current,RepeatPrefs,endingInsetEnd,72,72,65534,0,3,2,NONE,,baseline,,yes,RepeatOptions
original_and_current,RepeatPrefs,endingInsetStart,72,72,65534,0,2,2,NONE,,baseline,,yes,RepeatOptions
original_and_current,RepeatPrefs,endingLineThickness,72,72,65534,0,1,2,NONE,,baseline,,yes,RepeatOptions
original_and_current,RepeatPrefs,endingTextHoriz,72,72,65534,0,4,2,NONE,,baseline,,yes,RepeatOptions
original_and_current,RepeatPrefs,endingTextVert,72,72,65534,0,5,2,NONE,,baseline,,yes,RepeatOptions
original_and_current,RepeatPrefs,forwardSpace,70,70,65534,0,4,2,NONE,,baseline,,yes,RepeatOptions
original_and_current,RepeatPrefs,heavyLine,70,70,65534,0,0,2,NONE,,baseline,,yes,RepeatOptions
original_and_current,RepeatPrefs,lowerVertAdjust,71,71,65534,0,1,2,NONE,,baseline,,yes,RepeatOptions
original_and_current,RepeatPrefs,maxpasses,20,20,65534,0,3,2,NONE,,baseline,,yes,RepeatOptions
current_only,RepeatPrefs,showOnStaffListNumber,72,72,65534,1,2,2,NONE,,baseline,,yes,RepeatOptions
current_only,RepeatPrefs,showOnTopStaffOnly,72,72,65534,1,1,2,NONE,,baseline,,yes,RepeatOptions
original_and_current,RepeatPrefs,spaceBetweenLines,70,70,65534,0,2,2,NONE,,baseline,,yes,RepeatOptions
original_and_current,RepeatPrefs,thinInnerBracketReference,72,72,65534,1,0,2,NONE,25.1,baseline,,yes,RepeatOptions
original_and_current,RepeatPrefs,thinLine,70,70,65534,0,1,2,NONE,,baseline,,yes,RepeatOptions
original_and_current,RepeatPrefs,upperVertAdjust,71,71,65534,0,0,2,NONE,,baseline,,yes,RepeatOptions
original_and_current,RepeatPrefs,wingStyle,71,71,65534,0,2,2,NONE,,baseline,,yes,RepeatOptions
original_and_current,SizePrefs,barlineDashLength,68,68,65534,0,2,4,MACFOURBYTE,,baseline,,yes,multiple size-related option classes
original_and_current,SizePrefs,barlineHeavyThickness,67,67,65534,0,2,2,NONE,,baseline,,yes,multiple size-related option classes
original_and_current,SizePrefs,barlineThinThickness,58,58,65534,0,4,2,NONE,,baseline,,yes,multiple size-related option classes
original_and_current,SizePrefs,beamBrokenLength,03,03,65534,0,3,2,NONE,,baseline,,yes,multiple size-related option classes
original_and_current,SizePrefs,beamThickness,62,62,65534,0,4,4,MACFOURBYTE,,baseline,,yes,multiple size-related option classes
original_and_current,SizePrefs,enclosureThickness,27,27,65534,0,3,2,NONE,,baseline,,yes,multiple size-related option classes
original_and_current,SizePrefs,graceNoteSize,23,23,65534,0,0,2,NONE,,baseline,,yes,multiple size-related option classes
original_and_current,SizePrefs,graceSlashThickness,64,64,65534,0,1,2,NONE,,baseline,,yes,multiple size-related option classes
original_and_current,SizePrefs,graceTablatureNoteSize,14,14,65534,0,2,2,NONE,,baseline,,yes,multiple size-related option classes
original_and_current,SizePrefs,ledgerLeftHalf,59,59,65534,0,1,2,NONE,,baseline,,yes,multiple size-related option classes
original_and_current,SizePrefs,ledgerLeftHalfRest,01,01,65534,0,2,2,NONE,,baseline,,yes,multiple size-related option classes
original_and_current,SizePrefs,ledgerRightHalf,59,59,65534,0,2,2,NONE,,baseline,,yes,multiple size-related option classes
original_and_current,SizePrefs,ledgerRightHalfRest,01,01,65534,0,3,2,NONE,,baseline,,yes,multiple size-related option classes
original_and_current,SizePrefs,ledgerThickness,59,59,65534,0,0,2,NONE,,baseline,,yes,multiple size-related option classes
original_and_current,SizePrefs,shapeDesignerSlurTip,97,97,65534,0,0,4,MACFOURBYTE,,baseline,,yes,multiple size-related option classes
original_and_current,SizePrefs,staffLineThickness,58,58,65534,0,5,2,NONE,,baseline,,yes,multiple size-related option classes
original_and_current,SizePrefs,stemHalfLength,03,03,65534,0,2,2,NONE,,baseline,,yes,multiple size-related option classes
original_and_current,SizePrefs,stemNormalLength,20,20,65534,0,4,2,NONE,,baseline,,yes,multiple size-related option classes
original_and_current,SizePrefs,stemReverseAdjust,21,21,65534,0,2,2,NONE,,baseline,,yes,multiple size-related option classes
original_and_current,SizePrefs,stemShortLength,20,20,65534,0,5,2,NONE,,baseline,,yes,multiple size-related option classes
original_and_current,SizePrefs,stemThickness,64,64,65534,0,5,2,NONE,,baseline,,yes,multiple size-related option classes
original_and_current,SmartShapePrefs,bCrescDimHorizontal,FI,,12,0,4,2,NONE,,baseline,,yes,SmartShapeOptions or LineCurveOptions
original_and_current,SmartShapePrefs,bOctavaAsText,FI,,11,0,5,2,NONE,,baseline,,yes,SmartShapeOptions or LineCurveOptions
original_and_current,SmartShapePrefs,bUseEngraverSlurs,51,51,65534,0,5,2,NONE,,baseline,,yes,SmartShapeOptions or LineCurveOptions
original_and_current,SmartShapePrefs,bendAutoGenerateText,97,97,65534,1,2,2,NONE,,baseline,,yes,SmartShapeOptions or LineCurveOptions
original_and_current,SmartShapePrefs,bendHideNumber,97,97,65534,1,1,2,NONE,,baseline,,yes,SmartShapeOptions or LineCurveOptions
original_and_current,SmartShapePrefs,bendParentheses,97,97,65534,1,0,2,NONE,,baseline,,yes,SmartShapeOptions or LineCurveOptions
original_and_current,SmartShapePrefs,bendReplaceWithFull,97,97,65534,1,3,2,NONE,,baseline,,yes,SmartShapeOptions or LineCurveOptions
original_and_current,SmartShapePrefs,crescDimMaxShortSpanLength,FI,,12,0,5,2,NONE,25.3,baseline,,yes,SmartShapeOptions or LineCurveOptions
original_and_current,SmartShapePrefs,crescDimOpening,FI,,11,0,0,2,NONE,,baseline,,yes,SmartShapeOptions or LineCurveOptions
original_and_current,SmartShapePrefs,crescDimShortOpening,FI,,13,0,0,2,NONE,25.3,baseline,,no,SmartShapeOptions or LineCurveOptions
original_and_current,SmartShapePrefs,crescDimWidth,FI,,11,0,1,2,NONE,,baseline,,yes,SmartShapeOptions or LineCurveOptions
original_and_current,SmartShapePrefs,customLineStyle,92,92,65534,0,0,2,NONE,,baseline,,yes,SmartShapeOptions or LineCurveOptions
original_and_current,SmartShapePrefs,dashLength,FI,,12,0,0,4,MACFOURBYTE,,baseline,,yes,SmartShapeOptions or LineCurveOptions
original_and_current,SmartShapePrefs,dashSpace,FI,,12,0,2,4,MACFOURBYTE,,baseline,,yes,SmartShapeOptions or LineCurveOptions
original_and_current,SmartShapePrefs,engrAcciMode,50,50,65534,0,4,2,NONE,,baseline,,yes,SmartShapeOptions or LineCurveOptions
original_and_current,SmartShapePrefs,engrAcciSpace,53,53,65534,1,0,2,NONE,,baseline,,yes,SmartShapeOptions or LineCurveOptions
original_and_current,SmartShapePrefs,engrMaxAngle,53,53,65534,0,5,2,NONE,,baseline,,yes,SmartShapeOptions or LineCurveOptions
original_and_current,SmartShapePrefs,engrMaxLift,51,51,65534,0,2,4,MACFOURBYTE,,baseline,,yes,SmartShapeOptions or LineCurveOptions
original_and_current,SmartShapePrefs,engrMaxStretchFixed,51,51,65534,0,0,4,MACFOURBYTE,,baseline,,yes,SmartShapeOptions or LineCurveOptions
original_and_current,SmartShapePrefs,engrMaxStretchPrecent,53,53,65534,1,3,2,NONE,,baseline,,yes,SmartShapeOptions or LineCurveOptions
original_and_current,SmartShapePrefs,engrSpace,53,53,65534,0,4,2,NONE,,baseline,,yes,SmartShapeOptions or LineCurveOptions
original_and_current,SmartShapePrefs,engrStretchFirst,53,53,65534,1,1,2,NONE,,baseline,,yes,SmartShapeOptions or LineCurveOptions
original_and_current,SmartShapePrefs,engrStretchMode,53,53,65534,1,2,2,NONE,,baseline,,yes,SmartShapeOptions or LineCurveOptions
original_and_current,SmartShapePrefs,engrSymmetry,51,51,65534,0,4,2,NONE,,baseline,,yes,SmartShapeOptions or LineCurveOptions
original_and_current,SmartShapePrefs,glissandoStyle,92,92,65534,0,1,2,NONE,,baseline,,yes,SmartShapeOptions or LineCurveOptions
original_and_current,SmartShapePrefs,guitarBendStyle,92,92,65534,0,3,2,NONE,,baseline,,yes,SmartShapeOptions or LineCurveOptions
original_and_current,SmartShapePrefs,hookLength,FI,,11,0,2,2,NONE,,baseline,,yes,SmartShapeOptions or LineCurveOptions
original_and_current,SmartShapePrefs,lineThickness,FI,,11,0,4,2,NONE,,baseline,,yes,SmartShapeOptions or LineCurveOptions
original_and_current,SmartShapePrefs,slurThicknessHorizLeft,50,50,65534,0,0,2,NONE,,baseline,,yes,SmartShapeOptions or LineCurveOptions
original_and_current,SmartShapePrefs,slurThicknessHorizRight,50,50,65534,0,2,2,NONE,,baseline,,yes,SmartShapeOptions or LineCurveOptions
original_and_current,SmartShapePrefs,slurThicknessVertLeft,50,50,65534,0,1,2,NONE,,baseline,,yes,SmartShapeOptions or LineCurveOptions
original_and_current,SmartShapePrefs,slurThicknessVertRight,50,50,65534,0,3,2,NONE,,baseline,,yes,SmartShapeOptions or LineCurveOptions
original_and_current,SmartShapePrefs,slurbrEndAdjust,53,53,65534,0,1,2,NONE,,baseline,,yes,SmartShapeOptions or LineCurveOptions
original_and_current,SmartShapePrefs,slurbrStaffLineAvoid,53,53,65534,0,2,2,NONE,,baseline,,yes,SmartShapeOptions or LineCurveOptions
original_and_current,SmartShapePrefs,slurbrStartAdjust,53,53,65534,0,0,2,NONE,,baseline,,yes,SmartShapeOptions or LineCurveOptions
original_and_current,SmartShapePrefs,slurtipAvoidStaff,53,53,65534,0,3,2,NONE,,baseline,,yes,SmartShapeOptions or LineCurveOptions
original_and_current,SmartShapePrefs,slurtipAvoidStaffVal,50,50,65534,0,5,2,NONE,,baseline,,yes,SmartShapeOptions or LineCurveOptions
original_and_current,SmartShapePrefs,slurtipWidth,93,93,65534,0,0,4,MACFOURBYTE,,baseline,,yes,SmartShapeOptions or LineCurveOptions
original_and_current,SmartShapePrefs,tabSlideStyle,92,92,65534,0,2,2,NONE,,baseline,,yes,SmartShapeOptions or LineCurveOptions
original_and_current,StaffNamePosPrefsAbbrv,flag,66,66,65534,0,5,2,NONE,,baseline,,yes,StaffOptions
original_and_current,StaffNamePosPrefsAbbrv,horizAdjust,66,66,65534,0,0,2,NONE,,baseline,,yes,StaffOptions
original_and_current,StaffNamePosPrefsAbbrv,vertAdjust,66,66,65534,0,1,2,NONE,,baseline,,yes,StaffOptions
original_and_current,StaffNamePosPrefsFull,flag,04,04,65534,0,5,2,NONE,,baseline,,yes,StaffOptions
original_and_current,StaffNamePosPrefsFull,horizAdjust,04,04,65534,0,0,2,NONE,,baseline,,yes,StaffOptions
original_and_current,StaffNamePosPrefsFull,vertAdjust,04,04,65534,0,1,2,NONE,,baseline,,yes,StaffOptions
original_and_current,TiePrefs,afterMultipleDots,84,84,65534,2,4,2,NONE,,baseline,,yes,TieOptions
original_and_current,TiePrefs,afterSingleDot,84,84,65534,2,3,2,NONE,,baseline,,yes,TieOptions
original_and_current,TiePrefs,avoidStaffLinesDistance,84,84,65534,3,1,2,NONE,,baseline,,yes,TieOptions
original_and_current,TiePrefs,avoidStaffLinesOnly,84,84,65534,3,5,2,NONE,,baseline,,yes,TieOptions
original_and_current,TiePrefs,beforeAcciSingleNote,84,84,65534,2,5,2,NONE,,baseline,,yes,TieOptions
original_and_current,TiePrefs,breakForKeySigs,84,84,65534,0,3,2,NONE,,baseline,,yes,TieOptions
original_and_current,TiePrefs,breakForTimeSigs,84,84,65534,0,2,2,NONE,,baseline,,yes,TieOptions
original_and_current,TiePrefs,breakKeySigLeftHOffset,84,84,65534,1,0,2,NONE,,baseline,,yes,TieOptions
original_and_current,TiePrefs,breakKeySigRightHOffset,84,84,65534,1,1,2,NONE,,baseline,,yes,TieOptions
original_and_current,TiePrefs,breakTimeSigLeftHOffset,84,84,65534,0,4,2,NONE,,baseline,,yes,TieOptions
original_and_current,TiePrefs,breakTimeSigRightHOffset,84,84,65534,0,5,2,NONE,,baseline,,yes,TieOptions
original_and_current,TiePrefs,chordTieDirOpposingSeconds,84,84,65534,2,1,2,NONE,,baseline,,yes,TieOptions
original_and_current,TiePrefs,chordTieDirType,84,84,65534,2,0,2,NONE,,baseline,,yes,TieOptions
original_and_current,TiePrefs,gutterTies,41,41,65534,2,3,2,NONE,,baseline,,yes,TieOptions
original_and_current,TiePrefs,insetStyle,84,84,65534,3,2,2,NONE,,baseline,,yes,TieOptions
original_and_current,TiePrefs,mixedStemDirection,84,84,65534,2,2,2,NONE,,baseline,,yes,TieOptions
original_and_current,TiePrefs,secondsPlacement,84,84,65534,1,5,2,NONE,,baseline,,yes,TieOptions
original_and_current,TiePrefs,specialPosMode,84,84,65534,3,0,2,NONE,,baseline,,yes,TieOptions
original_and_current,TiePrefs,sysBreakLeftHAdj,84,84,65534,1,2,2,NONE,,baseline,,yes,TieOptions
original_and_current,TiePrefs,sysBreakRightHAdj,84,84,65534,1,3,2,NONE,,baseline,,yes,TieOptions
original_and_current,TiePrefs,thicknessLeft,84,84,65534,0,1,2,NONE,,baseline,,yes,TieOptions
original_and_current,TiePrefs,thicknessRight,84,84,65534,0,0,2,NONE,,baseline,,yes,TieOptions
original_and_current,TiePrefs,tipWidth,97,97,65534,0,2,4,MACFOURBYTE,,baseline,,yes,TieOptions
original_and_current,TiePrefs,useInterpolation,84,84,65534,3,3,2,NONE,,baseline,,yes,TieOptions
original_and_current,TiePrefs,useOuterPlacement,84,84,65534,1,4,2,NONE,,baseline,,yes,TieOptions
original_and_current,TiePrefs,useTieEndCtlStyle,84,84,65534,3,4,2,NONE,,baseline,,yes,TieOptions
