corpus_id,origin,archive_id,source_size,source_sha256,saving_product,export_match,export_size,export_sha256
mus-c37089222a7f68a4,filesystem,,707352,c37089222a7f68a43f7b7fc6fb5256d9a522c33002b75a456a575e3c681ce4cf,97,adjacent-exact,288286,13542ce9a30618d40fc75aa1f14dbea7a3154174f2f54c39f24bb8fa206d0de5
mus-39bcd6e74bfcdfa2,filesystem,,707632,39bcd6e74bfcdfa2f1bd115e79fa66acf4cfb8c646263d84286aa2a22171e3b8,97,adjacent-exact,288412,11e50f7db2a614d67816bc74aa634938220baedcfdca19f805f3d8b51ceb0b5b
mus-648fa445fd9f7414,filesystem,,707632,648fa445fd9f741481dec9f198d02f33639efec0e4f034693f969cad9a228124,97,adjacent-exact,288423,c133ae887ad647daed082e927aa3a818b9bf6f6e2bcd6e5f3cbc3897a84589bf
mus-1e164b8adbbe30b7,filesystem,,707632,1e164b8adbbe30b73cfd13f90a3b713039695448d6b78983a9867979a409ecd2,97,adjacent-exact,288427,a848422e651115ccaec8fdfe7f115473225a0f0ca1b183fee21efc6d1fad2174
mus-1402a29f106e2832,filesystem,,2738,1402a29f106e2832b764f2cf76ee7bb64cb22883c935a2de5bea9f3b47c813c7,2001,adjacent-exact,15936,6419ac738620f9eb74c555e6131340e848bcf0754667ee6db905a553d0302b53
mus-c53758b97dfa5f7e,filesystem,,3956,c53758b97dfa5f7e1f79911fe1a76066371ece4e8157acffcdbee5aa56cf44c3,2012,adjacent-exact,12950,fed92caafe8af16e1ecb0dac658f43a72b281aa8b2f4b263f7c7170ac17e95d1
