corpus_id,origin,archive_id,source_size,source_sha256,saving_product,export_match,export_size,export_sha256
mus-5d8b3820abbb676b,filesystem,,172491,5d8b3820abbb676b080e70d50082a53447894d602ad4878fd476d56861ae4889,2007,adjacent-exact,269341,59a97352a4e5cee74f285ffa28e0316bfb11dcdbc80f0fa729af3ba2f3ef54df
mus-baa69cec632f4b4f,filesystem,,191832,baa69cec632f4b4fe0e6f570b437f0d8b76fb2c2866b2ed046014c967a051b7b,2007,adjacent-exact,312442,594bbe23e13a375b642a9e59ea212908d494b0b1d1f411e87426d2fb0d03ae17
mus-42965bd09bb15138,filesystem,,14728,42965bd09bb15138e51f0db8f31db95aff506f0c17dddc667d42191bbb02e65c,2008,adjacent-exact,36368,6807d202f3aa85449d8286aa9d3cd5ddf8f9c1161bfb9d3d5fb2331582afcf30
mus-4963f44a09513dda,filesystem,,7871,4963f44a09513dda3174388f28283abb28b2e5ab56a5d06262e2d1f16eb38703,2008,adjacent-exact,24946,fec395ff2be66a97fc1b545db2a96f4466e65246e0be6acfa409968aea5e4caa
mus-559cbb2d3a3ca516,filesystem,,274128,559cbb2d3a3ca516c0f7c337abec0b867ddd8bd937f93364433d6c1e38459088,2012,adjacent-exact,492235,a0ddfb24b2a8b3ba779755f72a89be8a4f934fe6836d619ddbb1c98496e368bc
mus-4175d4767cfbc6a9,filesystem,,17528,4175d4767cfbc6a9fa8dc69913ed0f49652de7e62f291f8f91f1db5ec1083c07,2008,adjacent-exact,42954,5f1ea12fc0ea383a68d5c3e3120f87bb153ef5bd52815369ae8224d4445bd2f0
mus-d1d9d8f7cc69f0e9,filesystem,,14809,d1d9d8f7cc69f0e940dc7e408766b4af7b83825aedddee9300b3b92fa20461d3,2008,adjacent-exact,38150,e126a45acfad1ff5208b45ca8f146f98e7e63a79be9ea22b9e081bd5fa0fd3a0
mus-564f62c7979b0316,filesystem,,43286,564f62c7979b031642211402a78f5781bd7a2cbc387b276a900f1dd0243c4aea,2003,adjacent-exact,71237,aeb0bff1b7711f908e0fce68143f6e290b768dd8055f02bef5c181b923000a8a
mus-1d68a16b093f974b,filesystem,,68885,1d68a16b093f974b5b374079f8e84d7944b0f5f77d8ee30d56d4c803b1196adc,2006,adjacent-exact,105718,3e6d9afcf3790a08cab4d8b4d65e4936634e8836a9bc3307bc34dd66dfa2da61
mus-b92b0148be8cb36e,filesystem,,78077,b92b0148be8cb36e390d6bb2a41cf1954725db1a50d7a7f1b69fa85fc5bff25a,2006,adjacent-exact,119878,59dfdf3bf70881a2fb3a48a84195bbc4d8d2f7f9310ade958b3cced746fb54b5
mus-20c1184f926148f4,filesystem,,24930,20c1184f926148f4057e71a7f7222ef30ce9c17bf1c609a30b782e7c4e6611b6,2006,adjacent-exact,47183,758bd982bd1d16546cf1c406f26f709e40db806793cb85a22ddcf9b0eaf1516b
mus-59b7c80a0503437f,filesystem,,56168,59b7c80a0503437fa269a327f9a0aca7dd4a52de37b6f4db5582b71c8d14fdd9,2006,adjacent-exact,88908,cd02dc476ab09d4e790f87af673854d856bb8f0ee429c50c1b0fe065dd3bd43b
mus-c76a49cf14cfebe1,filesystem,,36182,c76a49cf14cfebe1b134721135dfa84db4ade4a54d76d3a09cda8821d0859147,2012,adjacent-exact,70113,cf37ab38ff65b061170567e46585a5df4dbb08ca2ead4ee738fc989ca173827c
mus-afed7d333207d3f1,filesystem,,46072,afed7d333207d3f13cc7518f1e13fe63065abbe29fc734aa97523f8aa0f5dabd,2012,adjacent-exact,84920,ba3dde397bcd42b876789693b55a25d5964b8460cd854c25b8fc277bcb0cb877
mus-4c75dfe49da42598,filesystem,,28926,4c75dfe49da425980392b99bcb3260622212cdb33caf6e1543c59c6158689ea4,2012,adjacent-exact,58564,447ef641b9e2797fe982e96178a71c3457df3d78ae9c6cf6ab6926220b53b717
mus-1ffaed4d92fe30cf,filesystem,,29020,1ffaed4d92fe30cf4efc545e78b551789a246ff0e1f0c87f132d15cb642d35f3,2012,adjacent-exact,58791,883f88f2aa8995013098343c66c9a99e2f83f720ec4346f23ff3afc53d9ec4dd
mus-6b4ffa135e18f5fd,filesystem,,72542,6b4ffa135e18f5fdcdcaa16606fe23ace95e942f3b2a77a9af681d12bfa85a81,2006,adjacent-exact,108572,ff05896f52ef141a3083567d7a0d0cdbabda3796d1058f040db9308aaaf16c4f
mus-b81483b56eb91a11,filesystem,,68507,b81483b56eb91a11754c20d8539ec3751da534f838686bdd91a1950d73d88d7c,2006,adjacent-exact,105368,3f2d732ede36e4260a7797a0a4fa6e54c0fbaa669e74c649a49dcd735937f47d
mus-789f50824285005a,filesystem,,78071,789f50824285005ac52fafe0fb24227e544cc3bd6a0761f1e135452f3bbc8619,2006,adjacent-exact,119872,d997561133e4593eebefd62e81446c4e1cb2f75e154a71910f80715c33c7bd5e
mus-2614af955af3913a,filesystem,,24922,2614af955af3913a165e7dce4d5b5d3e0c87e508e57a96c55e7ceeebf916d24a,2006,adjacent-exact,47169,b89e6da576d5dfa0ac8efdbee5eccce1d734c069cbe3537c45fe33667021af23
mus-8cbcae0002974ce8,filesystem,,56130,8cbcae0002974ce840868d498b219b70f44c247a974b870936c75906095c9c00,2006,adjacent-exact,88871,a4a371b9639d3cfc268555a65385d3ccdc7676e545180a7831f971a1f70115de
mus-8565d1cad82178ae,filesystem,,39721,8565d1cad82178aef05f020c48ec10617221e259796aa855c019251d5c8baee3,2007,adjacent-exact,73241,8a2237fe1b504b9faba87eaea6b70810c2a3354349a405951675f69e0fef6ef6
mus-1ac52420bbdbaef0,filesystem,,55665,1ac52420bbdbaef0ef67733ffb7cbdc834c248d6a1dbf3a534c75dbcaa66ab5a,2006,adjacent-exact,86052,fe9e4839d3814ef5fb9aaa073e424e3d3986e75c85e9984571ef85f52b9f8bc2
mus-f88ef1643fc67b1d,filesystem,,32656,f88ef1643fc67b1db856c5111ba2f23865b96ecb7651ecf6e81eb16e75eeaeac,2006,adjacent-exact,60127,97f60220996eeeed2f5aa0aa7b08004a610554332a7f0138feb5585b30eec61d
mus-ca7e1aed45bb0941,filesystem,,28875,ca7e1aed45bb0941b409bd51a7150844a2b5f459d48f92bc7086e77778a91474,2012,adjacent-exact,58379,bd4a6384978492fae9309862b1646ead20878520359e1c3ade9423102f842997
mus-a16b6d7023b06b31,filesystem,,72570,a16b6d7023b06b31185b2a2b656c2e0896b02ac7d16448fd2e5ac1f3bb378315,2006,adjacent-exact,108649,1509bcdf8ffc8eda76a495b9477792235177bc05ae879596d546ada003bae81d
mus-fce2c66dcf5e75fb,filesystem,,112167,fce2c66dcf5e75fb1ced7ce757908a63b994104cb3e99e4098abfdc0b306af57,2012,adjacent-exact,205358,0fb2f0bae16c481ac638b77cb5883a3f3653e4e3adbae8eff2a1c62aa307de8e
mus-66f52a75d6d09386,filesystem,,52271,66f52a75d6d093861e5daf1bfc88d444807639e3ab6f61d57536fb6777bc7857,2012,adjacent-exact,104961,71d4b54988a04949fa70f290ebd1274799ff19e9c445fc6cf1bcf73e31448883
mus-46c4619dfdc99ae6,filesystem,,66072,46c4619dfdc99ae698d48ad48493182ac5891c450e6ceb7e9404d930142725d7,2001,adjacent-exact,82263,47e1a1876700b0faadd408712ff2e5418494e450133dee88c7fd656e41b17930
mus-ba8abe7a30da3a29,filesystem,,123041,ba8abe7a30da3a29ef58769a8679c3b1d7e8e89c8bd6373dc90e17a6e2eb103e,2012,adjacent-exact,224407,2cc9489269b251e6e8abd58b112b4bac56f0333bb0b53a537ce45ea9491202f2
mus-8bf6ebf33547a00c,filesystem,,30551,8bf6ebf33547a00c2d8ab7b7700a300199b89949403579d8902ff9f0c7346d43,2007,adjacent-exact,61277,baedcafdffa5dc732b44f2059794577e83a60099b34aeb8a21800222e5c8e2bf
mus-c2cf68bd12bf7532,filesystem,,42274,c2cf68bd12bf753216488ca9434ef378832922cc73b330a3990875763986dc80,2007,adjacent-exact,78310,f1e0db5191e8ee0e05de6b7bca4ed8773e72460b7992c59617acb87151fdf889
mus-9535b4f36c6b8cdb,filesystem,,42366,9535b4f36c6b8cdbbd83dbc7c2cdc92e3528162656ac9f748229a62e4e414239,2007,adjacent-exact,78417,074d650aee38e1f4c32a586a91105acb1df523ee27b86c00134adc38a62167ab
mus-74701aa46a67aefa,filesystem,,16072,74701aa46a67aefa81a879a1686def38940aa556ca30bf5a559ff4ce4fb58a66,2007,adjacent-exact,40123,b143650e6752d70e84a10ffec6ad7080fd3f398733a9f767721288a8c2f45e7c
mus-2e76bebedc2abfca,filesystem,,17092,2e76bebedc2abfca3b9f052187c5d33157e034f5bd68b097392422bbbcfe0a55,2007,adjacent-exact,42560,8ab639bb794053e53a11ecdff20baf3b774a2929d168f33e6e47530109613686
mus-b4b28616512570ab,filesystem,,14187,b4b28616512570ab64d5d876e71d22ad71dc81976f7f55308cce1750bc3cce6e,2007,adjacent-exact,35338,ff666ea29020e7ff82848e23c90fbc671e57b177e817e2d0530aeb828f66a691
mus-8df337c5f58f9446,filesystem,,12406,8df337c5f58f9446ea844e8eaa6884cec334fbf7fbc6a64cfa6822502459f848,2007,adjacent-exact,32969,7002c3912f915d4935842e532ce7e5f915f4c2bc93e1848cd94d49e5ede434e3
