archive_id,member_id,member_size,member_sha256,is_enigma_binary,saving_product,member_name_has_extension,body_prefix,body_entropy,wrapper_endian,zlib_members,framed_records
arc-3cd66601b30b9429,mus-f6c13dbc3955b55c,67586,f6c13dbc3955b55c5223b15e92d73f13f5648fcd52e2673878870fb842f4470c,True,2007,True,001a00009897a6e7d48e789cec7d079c,7.9222,big,4,4861
arc-3cd66601b30b9429,mus-f109f30ce6534a11,71282,f109f30ce6534a11b0f855148cede42a45e17de6c5c81634c95b8b6abebc385f,True,2007,True,001a00009ed210b04a66789cecbd0798,7.9246,big,4,4973
arc-3cd66601b30b9429,mus-9a75fdbe02bb2ecd,69792,9a75fdbe02bb2ecdb26f9cd42d10d52400dc4fb8f268b75e3736fd3f16fd5ce5,True,2007,True,001a00009d07e440feeb789cecbd0798,7.9340,big,4,4923
arc-3cd66601b30b9429,mus-33ee98afe0407b61,57435,33ee98afe0407b6122a594ec07f3637e47c6970916be82cc56cd1ebc9bef7883,True,2007,True,001a00008baf8bdff519789cec7d07b8,7.9010,big,4,4857
arc-3cd66601b30b9429,mus-b1026e8664fdf4e3,57721,b1026e8664fdf4e3031e1d3930268701891cd20eb0c25fd66cb82c2b26402eb6,True,2007,True,001a00008c302677254d789cec7d0798,7.9085,big,4,4867
arc-3cd66601b30b9429,mus-051a135960cbc045,53545,051a135960cbc04593979cd7c9c133e708f33e31796f3917a9c0b8421732941a,True,2007,True,1a007d8000005e856522789cecbd077c,7.8721,little,4,5888
arc-3cd66601b30b9429,mus-24fdc0608a57f98c,52486,24fdc0608a57f98cc64fe60bbac3816a96114a4db29608f3cf67c9eb89dac594,True,2007,True,1a00ae7f0000f997da1e789cecbd077c,7.8729,little,4,5746
arc-3cd66601b30b9429,mus-e8ad65b6f02157bd,63534,e8ad65b6f02157bd96388052f4ef2e618da9a569d23add1499e44d23ebb6b162,True,2007,True,001a0000958652b90417789cecbd0798,7.9245,big,4,4768
arc-3cd66601b30b9429,mus-4d568b8edbe029b3,60017,4d568b8edbe029b35f94a5e8998239f3cd59a3b717ad9f0ae326250203e360f0,True,2007,True,001a00008eab6f104b95789cecbd0798,7.9282,big,4,4644
arc-3cd66601b30b9429,mus-b6cff70051e67a15,94038,b6cff70051e67a1567d5915ed2b7468ad89ffb782cc4fa3601f1b74bacae10b1,True,2007,True,1a0040b3000077dfea3f789cecbd0798,7.9264,little,4,5627
