pool,field0_hex,candidate_rank,xml_tag,files_tested,both_nonzero,nonzero_exact,all_file_exact_rate,pearson,score
details,0x041b,1,lyricEntryInfo,1440,10,10,1.0000,1.000000,2.500000
details,0x041b,2,baselinesSysLyricsVerse,1440,4,2,0.9736,0.242434,1.316045
details,0x041b,3,hpTechniqueName,1440,4,0,0.9833,0.241291,1.224625
details,0x041e,1,midiExprs,1440,56,2,0.9625,0.951010,2.013510
details,0x041e,2,baselinesFingerboards,1440,54,10,0.7319,0.219639,1.451584
details,0x041e,3,articAssign,1440,18,8,0.8458,-0.006923,1.238910
details,0x041f,1,measNumbIndivPos,1440,34,34,1.0000,1.000000,3.000000
details,0x041f,2,baselinesFingerboards,1440,16,8,0.7194,0.024491,1.143935
details,0x041f,3,lyricEntryInfo,1440,4,2,0.9736,0.018442,1.092053
details,0x0421,1,staffGroup,1440,422,420,0.9986,0.972990,2.971601
details,0x0421,2,baselinesSysChords,1440,46,44,0.7333,0.197480,1.930813
details,0x0421,3,baselinesFingerboards,1440,156,140,0.6389,0.115386,1.754275
details,0x0422,1,noteAlter,1440,130,124,0.9917,0.999253,2.990920
details,0x0422,2,baselinesFingerboards,1440,64,22,0.6917,0.093596,1.785263
details,0x0422,3,staffGroup,1440,54,16,0.6611,0.078745,1.539856
details,0x0424,1,perfData,1440,162,10,0.8750,0.971762,2.346762
details,0x0424,2,entrySize,1440,8,0,0.8681,0.917721,1.785777
details,0x0424,3,tupletDef,1440,102,0,0.8097,0.541855,1.351577
details,0x0426,1,shapeNote,1440,1158,0,0.1958,0.999725,1.195558
details,0x0426,2,centerShape,1440,114,80,0.2319,-0.109528,1.122416
details,0x0426,3,tupletDef,1440,144,12,0.1750,-0.030106,0.744894
details,0x0427,1,shapeNoteStyle,1440,992,0,0.3111,1.000000,1.311111
details,0x0427,2,fretboard,1440,990,0,0.3111,0.974301,1.285412
details,0x0427,3,smartShapeEntryMark,1440,444,14,0.3125,0.195144,1.207644
details,0x0428,1,smartShapeEntryMark,1440,456,160,0.7944,0.863869,2.658313
details,0x0428,2,lyrDataVerse,1440,106,22,0.6986,0.564412,2.263024
details,0x0428,3,centerShape,1440,106,16,0.6694,0.313050,1.782495
details,0x042a,1,stemAdjust,1440,136,128,0.9722,0.889777,2.861999
details,0x042a,2,baselinesFingerboards,1440,158,14,0.7292,0.243558,1.672725
details,0x042a,3,tieAlterStart,1440,30,4,0.8639,0.539573,1.603462
details,0x042e,1,tieAlterEnd,1440,4,4,1.0000,1.000000,2.200000
details,0x042e,2,perfData,1440,4,0,0.8875,0.223943,1.111443
details,0x042e,3,tieAlterStart,1440,4,0,0.9569,0.089391,1.046335
details,0x042f,1,tieAlterStart,1440,62,60,0.9972,0.997465,2.994688
details,0x042f,2,stemAdjust,1440,32,6,0.8875,0.617361,1.804861
details,0x042f,3,baselinesFingerboards,1440,36,20,0.7208,0.073804,1.794637
details,0x0430,1,tupletDef,1440,186,161,0.9792,0.880238,2.859404
details,0x0430,2,entrySize,1440,8,0,0.8674,0.847141,1.714502
details,0x0430,3,perfData,1440,107,0,0.8292,0.787664,1.616831
details,0x0443,1,baselinesSysChords,1440,52,52,1.0000,1.000000,3.000000
details,0x0443,2,staffGroup,1440,46,44,0.7333,0.206634,1.939968
details,0x0443,3,baselinesChords,1440,52,38,0.0264,0.447519,1.473908
details,0x0449,1,baselinesSysLyricsVerse,1440,34,30,0.9972,0.971550,2.968773
details,0x0449,2,hpTechniqueName,1440,10,0,0.9708,0.529643,1.500476
details,0x0449,3,hpTechniqueFilter,1440,10,0,0.9708,0.529643,1.500476
details,0x0450,1,chordAssign,1440,142,118,0.9819,0.963520,2.945464
details,0x0450,2,perfData,1440,104,0,0.8611,0.411435,1.272546
details,0x0450,3,baselinesFingerboards,1440,106,2,0.7028,0.365503,1.168281
details,0x0451,1,percussionNoteCode,1440,46,24,0.9833,0.855252,2.838585
details,0x0451,2,perfData,1440,22,0,0.8694,0.014717,0.884161
details,0x0451,3,baselinesFingerboards,1440,24,0,0.7097,0.150593,0.860315
details,0x0452,1,lyrDataChorus,1440,8,8,1.0000,1.000000,2.400000
details,0x0452,2,lyrDataVerse,1440,8,0,0.9264,0.286430,1.212819
details,0x0452,3,baselinesSysLyricsVerse,1440,4,0,0.9736,0.088560,1.062171
details,0x0454,1,lyrDataVerse,1440,104,78,0.9806,0.924397,2.904953
details,0x0454,2,smartShapeEntryMark,1440,104,0,0.6833,0.773996,1.457330
details,0x0454,3,hpTechniqueName,1440,18,0,0.9278,0.501190,1.428968
details,0x0455,1,activeLyric,1440,23,23,1.0000,1.000000,3.000000
details,0x0455,2,baselinesSysChords,1440,6,6,0.9563,0.144340,1.400590
details,0x0455,3,baselinesFingerboards,1440,12,12,0.7271,0.070909,1.397993
others,0x0079,1,articDef,1382,944,938,0.9957,0.999995,2.995653
others,0x0079,2,fretStyle,1382,944,0,0.3169,0.984829,1.301761
others,0x0079,3,metaArtic,1382,938,0,0.3169,0.982038,1.298970
others,0x007a,1,measSpec,1382,1182,668,0.4834,0.680395,2.163753
others,0x007a,2,staffStyleAssign,1382,434,122,0.2113,0.590254,1.801542
others,0x007a,3,smartShapeMeasMark,1382,516,38,0.0738,0.254863,1.328669
others,0x007c,1,channelPlayData,1382,462,462,1.0000,1.000000,3.000000
others,0x007c,2,audioUnitInfo,1382,276,177,0.7938,0.620676,2.414453
others,0x007c,3,namePosFull,1382,418,128,0.3169,0.945447,2.262379
others,0x007d,1,shapeDef,1382,944,70,0.0507,0.976651,2.027302
others,0x007d,2,textExprDef,1382,944,16,0.2243,0.752222,1.776535
others,0x007d,3,playDumpText,1382,944,16,0.2243,0.752222,1.776535
others,0x007e,1,chordSuffixPlay,1382,944,944,1.0000,1.000000,3.000000
others,0x007e,2,shapeDef,1382,944,112,0.0810,0.977450,2.058492
others,0x007e,3,articDef,1382,944,0,0.3169,0.950995,1.267927
others,0x007f,1,drumStaff,1382,24,24,0.9551,0.015885,1.971022
others,0x007f,2,percMapRef,1382,24,24,0.9624,0.005564,1.967937
others,0x007f,3,finnamFilePath,1382,24,24,0.9624,0.005564,1.967937
others,0x0083,1,channelPlayData,1382,330,28,0.6498,0.617637,2.267420
others,0x0083,2,drumLibName,1382,380,378,0.7800,0.486364,2.266393
others,0x0083,3,percussionNoteInfo,1382,380,26,0.5253,0.520453,2.045779
others,0x0084,1,drumStaff,1382,56,48,0.9942,0.964593,2.958805
others,0x0084,2,percMapRef,1382,46,31,0.9819,0.961821,2.943731
others,0x0084,3,finnamFilePath,1382,46,31,0.9819,0.961821,2.943731
others,0x0085,1,drumStaff,1382,56,24,0.9580,0.662353,2.620385
others,0x0085,2,percMapRef,1382,46,24,0.9580,0.603646,2.561678
others,0x0085,3,finnamFilePath,1382,46,24,0.9580,0.603646,2.561678
others,0x0086,1,durAllot,1382,1382,1382,1.0000,1.000000,3.000000
others,0x0086,2,measSpec,1382,1382,28,0.0203,0.447662,1.467923
others,0x0086,3,staffStyle,1382,962,88,0.0637,0.359150,1.422825
others,0x0088,1,execShape,1382,944,944,1.0000,1.000000,3.000000
others,0x0088,2,metaStaffStyle,1382,934,572,0.7308,0.962896,2.693721
others,0x0088,3,staffStyle,1382,944,92,0.3705,0.957065,2.327543
others,0x008c,1,fretboardSymbol,1382,350,350,1.0000,1.000000,3.000000
others,0x008c,2,audioUnitInfo,1382,274,0,0.7453,0.852175,1.597472
others,0x008c,3,volumeValue,1382,272,0,0.7453,0.845562,1.590858
others,0x008d,1,layerAtts,1382,1382,734,0.5311,0.000000,1.531114
others,0x008d,2,textExpressionEnclosure,1382,940,144,0.1042,0.000000,1.104197
others,0x008d,3,pageTextAssign,1382,1078,122,0.0883,0.000000,1.088278
others,0x0090,1,fontName,1382,1382,438,0.3169,0.914013,2.230945
others,0x0090,2,metaClef,1382,1382,174,0.1259,0.712294,1.838199
others,0x0090,3,execShape,1382,944,43,0.0311,0.727116,1.758230
others,0x0092,1,frameSpec,1382,1382,513,0.3712,0.640218,2.011420
others,0x0092,2,markingsDialogList,1382,1033,36,0.0260,0.471349,1.497398
others,0x0092,3,measSpec,1382,1382,45,0.0326,0.433132,1.465693
others,0x0093,1,lockMeas,1382,1348,1348,1.0000,1.000000,3.000000
others,0x0093,2,staffSystemSpec,1382,1348,566,0.4096,0.758087,2.167639
others,0x0093,3,pageSpec,1382,1348,92,0.0666,0.517100,1.583670
others,0x0094,1,shapeDef,1382,932,40,0.0289,0.961217,1.990161
others,0x0094,2,metaTimeSig,1382,926,0,0.3256,0.973995,1.299610
others,0x0094,3,chordSuffixPlay,1382,932,0,0.3169,0.969427,1.286359
others,0x0095,1,fretInst,1382,944,944,1.0000,1.000000,3.000000
others,0x0095,2,metaKeySig,1382,926,308,0.5398,0.991314,2.531111
others,0x0095,3,metaDynam,1382,933,214,0.3980,0.970242,2.368216
others,0x0097,1,fretStyle,1382,944,944,1.0000,1.000000,3.000000
others,0x0097,2,pageTextAssign,1382,942,20,0.2330,0.414748,1.647744
others,0x0097,3,smartShapeMeasMark,1382,606,112,0.3647,0.229799,1.594488
others,0x009c,1,measNumbRegion,1382,328,188,0.5702,0.484264,2.054453
others,0x009c,2,keysAttrib,1382,402,172,0.4732,0.427435,1.900662
others,0x009c,3,markingsDialogList,1382,406,234,0.4190,0.339239,1.758197
others,0x009e,1,playDefs,1382,1382,1382,1.0000,0.000000,2.000000
others,0x009e,2,partGlobals,1382,1382,1382,1.0000,0.000000,2.000000
others,0x009e,3,moviePlayerState,1382,1382,1382,1.0000,0.000000,2.000000
others,0x009f,1,staffSystemSpec,1382,1382,238,0.1722,0.994595,2.166810
others,0x009f,2,lockMeas,1382,1348,296,0.2142,0.759821,1.974003
others,0x009f,3,metaRepeat,1382,932,180,0.1302,0.357449,1.487695
others,0x00a2,1,keysAttrib,1382,892,892,1.0000,1.000000,3.000000
others,0x00a2,2,timeUpper,1382,892,298,0.5456,0.858214,2.403801
others,0x00a2,3,audioUnitInfo,1382,274,272,0.5499,0.360160,1.910087
others,0x00a3,1,layerAtts,1382,1382,1382,1.0000,1.000000,3.000000
others,0x00a3,2,textExpressionEnclosure,1382,940,144,0.1042,0.638283,1.742480
others,0x00a3,3,pageTextAssign,1382,1078,122,0.0883,0.475919,1.564197
others,0x00a4,1,measNumbRegion,1382,700,700,1.0000,1.000000,3.000000
others,0x00a4,2,markingsDialogList,1382,657,607,0.6606,0.406166,2.066803
others,0x00a4,3,keysAttrib,1382,652,36,0.3459,0.548048,1.893923
others,0x00a5,1,metaArtic,1382,938,938,1.0000,1.000000,3.000000
others,0x00a5,2,fretInst,1382,938,2,0.3184,0.995571,1.413950
others,0x00a5,3,textRepeatText,1382,938,2,0.3111,0.962936,1.374079
others,0x00a6,1,metaChord,1382,10,10,1.0000,1.000000,2.500000
others,0x00a6,2,drumStaff,1382,10,10,0.9667,0.106539,1.573254
others,0x00a6,3,drumLayoutPmmRef,1382,10,10,0.9653,0.089066,1.554334
others,0x00a7,1,metaClef,1382,1382,1382,1.0000,1.000000,3.000000
others,0x00a7,2,fontName,1382,1382,58,0.0420,0.848369,1.890337
others,0x00a7,3,shapeExprDef,1382,963,124,0.0897,0.773526,1.863251
others,0x00a8,1,metaDynam,1382,1035,1035,1.0000,1.000000,3.000000
others,0x00a8,2,metaKeySig,1382,926,354,0.5072,0.977564,2.484800
others,0x00a8,3,fretInst,1382,933,214,0.3980,0.970242,2.368216
