saving_product,files,zlib-members,non-zlib-low-entropy,non-zlib-other,zlib_members,framed_members,framed_records
1.0.0,40,0,0,40,0,0,0
2.6,24,0,0,24,0,0,0
2000,8,0,8,0,0,0,0
2002,11,0,11,0,0,0,0
2003,8,0,8,0,0,0,0
2004b,6,0,6,0,0,0,0
2005,20,0,20,0,0,0,0
2006,8,0,8,0,0,0,0
2007,1,1,0,0,4,1,168
2008,5,5,0,0,20,6,814
2011,7,7,0,0,28,14,1426
2012,15,15,0,0,60,30,3305
3.7,18,0,18,0,0,0,0
97,10,0,9,1,0,0,0
98,3,0,3,0,0,0,0
